ubigeo;aet;pet;pr;ro;soil;tmmn;tmmx;vs
10101;71.337249;87.183192;73.801097;3.646367;45.818541;9.90327;21.568979;23.906858
10102;72.277943;78.608898;97.241519;7.235182;137.670617;7.656552;19.241379;25.633793
10103;66.425861;92.995778;67.10102;3.041087;28.116154;9.83629;22.781991;24.89818
10104;72.792804;83.671611;80.579094;4.249585;75.242195;9.263204;20.95;23.672007
10105;72.561299;81.80585;86.524977;5.061516;105.812767;8.840734;20.291259;24.406031
10106;68.308783;90.546905;75.533591;4.38116;40.588933;7.772948;21.21144;27.160296
10107;71.05625;75.890925;111.942392;24.816615;171.193315;5.278766;17.391966;27.912626
10108;70.842568;90.176981;65.958897;3;30.998582;11.379787;22.63484;22.469149
10109;72.697227;83.562457;87.606797;6.013225;51.378223;7.457932;20.105622;26.375201
10110;73.149527;84.153236;94.683936;6.507088;59.81149;4.918435;18.493338;29.745019
10111;71.525934;85.19458;80.878706;4.498709;54.152921;8.451163;20.576744;25.517442
10112;71.947967;85.108911;80.447514;4.561813;48.116546;8.355866;20.668231;25.413087
10113;72.972719;84.345225;87.835298;7.321331;48.604777;7.355937;20.154062;26.599062
10114;72.856858;80.934844;91.850455;7.754867;118.989595;8.38309;20.060678;24.368878
10115;72.646746;83.347871;87.6389;5.005066;52.831513;7.5833;20.43664;25.954352
10116;70.971225;76.342791;104.281242;17.432576;160.972141;6.252093;18.092326;26.936279
10117;72.367031;78.701247;100.927745;12.221507;139.112568;6.731343;18.618507;26.646269
10118;72.676513;86.237597;73.913542;3.853194;59.594643;10.345833;21.755357;22.77619
10119;72.168733;83.557496;85.531161;4.695473;62.246301;7.622517;19.944573;26.198383
10120;72.498234;81.824813;89.09752;4.99978;79.867536;7.526578;19.681728;26.020266
10121;72.925239;86.529142;73.986177;3.784801;57.75878;10.239588;21.600515;23.29
10201;84.343475;102.565247;82.882814;4.876208;103.545564;18.873529;29.518382;17.994761
10202;85.781809;94.129497;104.880316;7.8033;164.737057;15.633278;26.525507;20.23792
10203;76.310628;94.393381;78.457419;4.062381;100.283448;15.198489;26.100756;20.894962
10204;80.901781;101.761808;77.167076;4.53001;80.031982;18.566216;29.217568;18.047297
10205;91.099596;95.595049;138.785603;34.788633;105.975842;17.709277;28.366211;17.665078
10206;79.47577;96.428733;79.772507;4.386311;110.308515;16.435778;27.257782;19.822182
10301;72.63179;81.698585;87.078779;5.619642;100.270567;8.847806;20.250157;24.655094
10302;71.792648;78.007938;95.488903;9.221261;138.487796;7.972061;19.372366;25.051221
10303;71.03179;86.018054;70.210191;3.512709;42.375941;11.166412;22.233588;22.606107
10304;72.375568;81.198937;83.54513;4.542707;105.373114;10.216667;21.182946;22.895543
10305;71.859008;84.598657;76.71226;3.661669;65.240288;10.993445;22.067866;22.709512
10306;72.265223;83.442111;79.932709;4.394406;78.227993;10.139254;21.293151;23.778341
10307;69.796675;89.307831;65.756326;3.197403;26.476677;12.761039;23.710714;21.733117
10308;72.313979;81.53101;82.975369;4.657151;107.567794;9.701786;20.84375;23.507143
10309;72.628147;82.002975;86.680776;5.21525;84.686789;8.560044;20.096943;25.206659
10310;70.297054;86.752143;71.863159;3.655945;46.699145;11.744314;22.823137;22.691961
10311;71.426693;87.120908;70.652621;3.421625;47.361335;10.937188;22.114062;22.734844
10312;78.130797;85.017619;97.714048;10.326061;115.915347;13.655902;23.990918;19.798425
10401;91.859138;94.552187;161.259559;63.035787;68.477808;20.182142;30.037714;13.918733
10402;89.448421;91.959246;151.336977;52.785082;84.292993;17.9608;28.517487;16.215693
10403;89.00324;90.653042;177.394917;82.74872;55.2972;20.15082;29.983031;12.908274
10501;72.261627;89.291736;70.902992;3.679133;32.18467;10.087713;21.596928;24.076109
10502;55.732612;97.217518;52.742781;2.65039;15.011378;13.206321;24.757223;22.79684
10503;64.121896;93.883147;64.213007;3.083238;24.049547;10.578602;23.111023;24.27871
10504;72.256835;86.921587;80.320483;4.361259;40.305952;7.832488;20.236636;26.763825
10505;70.430535;87.14036;72.75995;3.624933;34.256986;8.930616;20.976988;25.993688
10506;72.560719;87.455136;77.91681;3.96115;37.64586;8.332484;20.530786;26.240764
10507;72.258104;82.823125;91.385615;6.568735;54.03699;5.659072;18.591983;29.264768
10508;72.463176;87.526103;76.630483;4.141554;36.595093;8.806294;20.794406;25.675699
10509;72.582137;88.736182;73.972916;3.749154;34.650521;9.326823;21.128776;25.067708
10510;70.817805;86.798183;73.421435;3.654717;34.912909;9.412719;21.277193;25.266447
10511;73.170693;83.687495;91.152688;4.963506;52.545656;5.978187;19.079745;28.764731
10512;64.793643;93.584986;61.887221;3.048847;21.410252;11.37773;23.192457;23.913003
10513;64.154786;94.173605;59.347979;2.689236;18.379122;11.34174;23.319093;23.760664
10514;65.345095;92.237473;67.774466;3.560139;27.208139;9.951013;22.337553;25.181055
10515;52.578003;98.393768;48.186539;2.158984;11.574126;13.490678;25.139831;22.359004
10516;71.989302;88.669923;71.85156;3.713557;32.603157;10.226056;21.687324;23.961268
10517;73.704435;87.802344;81.264043;4.331791;40.875994;7.421409;20.507453;26.832046
